Year,rapidminer,jasper,opencv,ink,hadoop,apache spark,ibm cognos,scikit-learn,flink,django,docker,scipy,apache mahout,numpy,power bi,kubernetes,andi,ros (robot operating system),Total Tools,Percentage of Tools Matched,amazon alexa,antivirus software,deeplearning4j,tensorflow,iphoto,cntk,mxnet,siri,google assistant,spacy,keras,pytorch,apache mxnet,opennn,dlib,gensim,tiktok,caffe,afiniti
2015,0.02466827659629716,0.12463971332865934,0.111656409856924,0.02726493729064423,1.3242969541170055,0.05842486562280906,0.0038949910415206042,0.0025966606943470696,0.0025966606943470696,0.005193321388694139,0.0012983303471735348,0.006491651735867674,0.0025966606943470696,0.005193321388694139,0.009088312430214743,0.018176624860429487,0.0012983303471735348,0.005193321388694139,1.7345693438238428,1.0542442419049103,,,,,,,,,,,,,,,,,,,
2016,0.005996462087368453,0.10044073996342158,0.14616376337960604,0.0344796570023686,1.2255269391059274,0.07870356489671093,0.0022486732827631697,0.005996462087368453,0.011243366413815849,0.007495577609210566,0.0014991155218421132,0.005246904326447396,0.0029982310436842264,0.007495577609210566,0.014991155218421133,0.17689563157736934,0.0044973465655263395,0.009744250891973736,1.870146613498036,1.2277756123886907,0.0014991155218421132,0.0029982310436842264,0.003747788804605283,0.01948850178394747,0.0007495577609210566,,,,,,,,,,,,,,
2017,0.029552613727189075,0.11753880459677472,0.16253937549953992,0.04432892059078362,1.3983759495456285,0.10410579835714334,0.005373202495852559,0.012089705615668259,0.022836110607373377,0.008059803743778838,0.0033582515599078497,0.025522711855299657,0.0020149509359447095,0.030224264039170643,0.06716503119815699,0.8180700799935522,0.0020149509359447095,0.013433006239631399,2.998246992685728,2.020324138440562,0.011418055303686689,0.0020149509359447095,0.0020149509359447095,0.07455318462995426,,0.0033582515599078497,0.008059803743778838,0.019477859047465528,0.0033582515599078497,0.0013433006239631398,0.005373202495852559,0.0006716503119815699,,,,,,,
2018,0.03525570605938287,0.08124140961509965,0.16810329410923136,0.05058427391128847,1.6800110365688534,0.1629937714919295,0.007664283925952798,0.04138713320014511,0.0342338015359225,0.02197094725439802,,0.01583952011363578,0.03729951510630362,0.06948950759530537,0.15788424887462765,2.7208207937132434,0.002043809046920746,0.01788332916055653,5.58777393428132,3.7667400734749354,0.01635047237536597,0.0015328567851905597,0.0071533316642226116,0.16350472375365968,,0.002043809046920746,0.00868618844941317,0.016861424637096157,0.016861424637096157,0.0005109522617301865,0.0342338015359225,0.012262854281524477,0.002043809046920746,0.0005109522617301865,0.0005109522617301865,,,,
2019,0.01721383992730155,0.06645342855655947,0.16533292767384977,0.04163347331254329,1.5248259600718979,0.13490846640699122,0.0016012874350978187,0.05244216349945356,0.029623817549309643,0.012009655763233639,0.0020016092938722734,0.021617380373820553,0.016813518068527093,0.07726211874346975,0.2578072770507488,4.5472559938190305,,0.012009655763233639,7.339500958770852,5.158547472167623,0.010808690186910276,,0.006805471599165729,0.18654998618889587,,0.002401931152646728,0.009607724610586912,0.010008046469361367,0.013210621339557005,0.008807080893038003,0.06645342855655947,0.03843089844234765,0.0028022530114211824,0.0004003218587744547,0.0004003218587744547,0.0016012874350978187,0.0004003218587744547,,
2020,0.009170399783578566,0.07198763830109174,0.15406271636411992,0.04722755888542961,1.1774793322114876,0.1004158776301853,0.003668159913431426,0.049978678820503185,0.029803799296630337,0.026594159372377836,0.0022925999458946415,0.022467479469767484,0.0032096399242524977,0.0907869578574278,0.4571444292113915,8.189625526724837,0.0004585199891789282,0.004585199891789283,10.88801566304283,7.901216453531291,0.005043719880968211,0.0013755599675367848,0.007336319826862852,0.22054811479506448,,0.0027511199350735696,0.008711879794399637,0.011462999729473207,0.005960759859326067,0.013755599675367849,0.07703135818205996,0.07519727822534424,,,,0.005502239870147139,0.011462999729473207,0.0004585199891789282,0.0004585199891789282
2021,0.013046000885754796,0.05012410866632106,0.1785242226471709,0.03742142359334928,1.0745784940108556,0.12874342979363287,0.008239579506792502,0.10230811220934026,0.020942264579764277,0.02677863339707564,0.0010299474383490628,0.022658843643679382,,0.11672737634622714,0.7769236843279764,13.145562471461872,0.00034331581278302097,0.01716579063915105,16.34457921497406,11.73144463860861,0.011329421821839691,0.0010299474383490628,0.005149737191745315,0.33335965421231334,,0.0030898423150471886,0.009956158570707608,0.009612842757924586,0.0075529478812264616,0.015792527388018965,0.0786193211273118,0.12737016654250077,,,0.0020598948766981256,0.0024032106894811465,0.016135843200801987,,
2022,0.018951837064739477,0.03916712993379491,0.13171526759993935,0.04422095315105878,0.7463865163996564,0.14213877798554606,0.009791782483448728,0.07580734825895791,0.019583564966897456,0.024005660282003335,0.0018951837064739474,0.03727194622732097,,0.14245464193662505,0.9144261383736797,14.303267296709961,0.0015793197553949565,0.011371102238843685,17.170680244605045,12.396080760095012,0.006633142972658816,,0.001263455804315965,0.25269116086319304,,,0.004737959266184869,0.005685551119421843,0.00252691160863193,0.012318694092080659,0.06569970182443018,0.12982008389346542,0.0003158639510789913,,0.0006317279021579825,0.0009475918532369737,0.023373932379845353,,
