Year,jasper,opencv,hadoop,ink,power bi,ros (robot operating system),kubernetes,apache spark,siri,django,Total Tools,Percentage of Tools Matched,flink,tensorflow,scipy,amazon alexa,numpy,scikit-learn,andi,google assistant,docker,rapidminer,keras,apache mahout,pytorch,mxnet,spacy,opennn,dlib,caffe,gensim,tiktok,deeplearning4j,ibm cognos,cntk
2015,0.09691264017721168,0.1107573030596705,1.2460196594212931,0.013844662882458813,0.06922331441229405,0.05537865152983525,0.04153398864737644,0.09691264017721168,0.013844662882458813,0.013844662882458813,1.758272186072269,1.1491070192440813,,,,,,,,,,,,,,,,,,,,,,,
2016,0.061036510931084226,0.24969481744534458,1.0931084230385084,0.027743868605038288,0.033292642326045944,0.07213405837309954,0.16091443790922205,0.02219509488403063,0.011097547442015314,,1.7478637221174118,1.0653645544334702,0.005548773721007657,0.005548773721007657,0.005548773721007657,,,,,,,,,,,,,,,,,,,,
2017,0.1361578164086001,0.3356448497514328,0.7662835249042145,0.012665843386846523,0.06332921693423262,0.05699629524080935,0.30081378043760487,0.015832304233558154,0.028498147620404674,,1.8143820651657643,1.3172477122320383,0.0063329216934232616,0.05382983439409771,0.0031664608467116308,0.018998765080269785,0.0063329216934232616,0.0031664608467116308,0.0031664608467116308,0.0031664608467116308,,,,,,,,,,,,,,,
2018,0.12320414300033412,0.3529067824924825,0.36961242900100233,0.0417641162712997,0.052205145339124626,0.0417641162712997,1.1318075509522219,0.0417641162712997,0.02088205813564985,0.006264617440694955,2.4619946541931172,1.8000334112930172,0.006264617440694955,0.06682258603407952,0.014617440694954896,0.05011693952555964,0.01670564650851988,0.01670564650851988,0.00417641162712997,0.0417641162712997,0.00835282325425994,0.006264617440694955,0.018793852322084862,0.02505846976277982,0.00417641162712997,,,,,,,,,,
2019,0.112789242725975,0.3172197451668047,0.25377579613344375,0.03172197451668047,0.12512556614912854,0.021147983011120315,2.432018046278836,0.03524663835186719,0.03524663835186719,0.005286995752780079,3.649789401335848,2.7668611106215746,0.0017623319175933594,0.07049327670373438,0.014098655340746875,0.012336323423153515,0.05110762561020743,0.03348430643427383,,0.022910314928713676,,,0.02819731068149375,0.014098655340746875,0.010573991505560158,0.017623319175933596,0.0035246638351867188,,,,,,,,
2020,0.15330166360694208,0.3520260423566819,0.2290061888449382,0.03595964948804815,0.2403618676306376,0.05488578079754717,4.192138085054034,0.06434884645229669,0.022711357571398832,0.013248291916649318,5.795181406968601,4.178889793137384,0.00757045252379961,0.17790563430929085,0.00757045252379961,0.05299316766659727,0.04353010201184776,0.017033518178549124,0.0018926131309499024,0.01514090504759922,,,0.051100554535647366,,0.03028181009519844,,,0.005677839392849708,0.005677839392849708,0.00757045252379961,0.009463065654749513,0.0018926131309499024,0.0018926131309499024,,
2021,0.05452953922539355,0.3860117382008122,0.17937348429405772,0.02582978173834431,0.3300472111010662,0.0674444300945657,6.497625095067947,0.07892433308938539,0.027264769612696776,0.014349878743524617,8.261225192647121,6.336906453140472,0.007174939371762308,0.1951583509119348,0.02582978173834431,0.012914890869172154,0.07461936946632801,0.022959805989639388,0.0014349878743524617,0.010044915120467231,,,0.06026949072280339,,0.12627893294301665,0.0028699757487049234,0.0014349878743524617,,0.0014349878743524617,,0.0014349878743524617,0.0014349878743524617,0.03300472111010662,0.014349878743524617,0.007174939371762308
2022,0.04197754878197403,0.3371745047326301,0.15030670692900377,0.009478801337865102,0.2599899795528714,0.02708228953675744,6.93577435036358,0.04468577773564977,0.024374060583081694,0.008124686861027231,8.381968611626426,6.5958916166772745,0.0027082289536757434,0.24374060583081694,0.02843640401359531,0.02031171715256808,0.05145635011983913,0.023019946106243822,0.009478801337865102,0.004062343430513616,0.004062343430513616,,0.02843640401359531,,0.08937155547129955,,,,0.0013541144768378717,,,0.02843640401359531,0.00677057238418936,0.0013541144768378717,
