Year,radius,rita,7z,Total Tools,Percentage of Tools Matched,spass,whatsapp,windows,key,clips,instagram,gif,skype,recaptcha,tex,json,bitcoin,jonas,https,dvd,viber,linux,shortlist,root,mcfit,jasper
2015,0.13568521031207598,0.27137042062415195,0.40705563093622793,0.8141112618724559,0.8141112618724559,,,,,,,,,,,,,,,,,,,,,
2016,0.09866798223976321,0.049333991119881605,0.2960039467192896,0.6413418845584609,0.6413418845584609,0.049333991119881605,0.049333991119881605,0.049333991119881605,0.049333991119881605,,,,,,,,,,,,,,,,,
2017,0.14727540500736377,0.08415737428992215,,0.9888491479065854,0.8836524300441826,0.2103934357248054,0.29455081001472755,0.021039343572480537,0.042078687144961074,0.042078687144961074,0.1051967178624027,0.021039343572480537,0.021039343572480537,,,,,,,,,,,,,
2018,1.4448201660006148,0.03074085459575776,,2.597602213341531,2.443897940362742,0.21518598217030432,0.507224100830003,,0.03074085459575776,,,,0.0768521364893944,0.01537042729787888,0.23055640946818323,0.03074085459575776,0.01537042729787888,,,,,,,,,
2019,0.2782344757809536,0.06323510813203491,,3.1111673200961176,2.4282281522701403,0.2908814974073606,1.960288352093082,0.10117617301125584,0.1391172378904768,,0.17705830276969772,,,0.02529404325281396,,,,0.03794106487922094,0.01264702162640698,0.02529404325281396,,,,,,
2020,0.16466928917756837,,,3.5861311865337115,2.662153508370689,0.2927454029823438,2.55237398225231,0.1280761138047754,0.009148293843198244,,0.2104107583935596,0.009148293843198244,0.018296587686396488,0.009148293843198244,,,,0.09148293843198244,0.036593175372792976,0.018296587686396488,0.02744488152959473,0.009148293843198244,0.009148293843198244,,,
2021,0.1471097265489789,,,9.882312218760816,8.108341986846659,0.19903080650744204,7.874697127033575,0.28556593977154726,0.034614053305642094,0.008653513326410523,0.3547940463828314,,0.04326756663205261,,0.008653513326410523,,,0.7009345794392523,0.034614053305642094,0.008653513326410523,0.034614053305642094,,0.02596053997923157,0.017307026652821047,0.10384215991692627,
2022,0.2838557066824364,,,14.594914251921939,10.159668835008869,0.2838557066824364,9.97043169722058,1.608515671200473,0.10644589000591367,,0.8042578356002364,,0.04730928444707274,0.5440567711413365,0.011827321111768185,,,0.4257835600236547,0.1419278533412182,0.03548196333530455,,,,,0.3075103489059728,0.02365464222353637
