Parent_Url,Extracted_Tools
Artificial_intelligence,"['Amazon_Alexa', 'Megvii', 'Celia_(virtual_assistant)', 'Horovod_(machine_learning)', 'Modular_Audio_Recognition_Framework', 'IPhoto', 'TikTok', 'SHRDLU', 'Bruno_Sartori', 'Deeplearning4j', 'Open_Neural_Network_Exchange', 'TensorFlow', 'Artificial_Intelligence_Markup_Language', 'Afiniti', 'Zo_(bot)', 'Your.MD', 'Tay_(bot)', 'GPT-3', 'ADS-AC', 'Siri', 'Google_Search', 'UMBEL']"
Artificial_neural_network,"['Keras', 'Brain.js']"
Aspect-oriented_programming,"['Nemerle', 'AutoHotkey', '.NET_Framework', 'AspectJ', 'Microsoft_Transaction_Server', 'Make_(software)', 'Squeak', 'Cocoa_(API)', 'Racket_(programming_language)']"
Assistive_technology,"['WordQ+SpeakQ', 'VoiceOver', 'IOS']"
Association_football,"['442oons', 'Corner_kick', 'Soccer_on_CBS_Sports', 'Match_of_the_Day', 'My_Old_Man_Said', 'Stadion_Miejski_(Nisko)', 'Special_1_TV', 'Move_Move_Move_(The_Red_Tribe)', ""World_League_Soccer_'98"", 'Mark_Goldbridge', 'Punto_pelota', ""Celtic_Celtic_(That's_the_Team_for_Me)"", 'FIFA_Superstars', 'Kick-off_(association_football)', 'Football_Superstars', 'Football_Manager_2014', 'Glory_Glory_(football_chant)', 'Soccer_on_ESPN/ABC', 'Lift_it_High_(All_About_Belief)', 'Super_Soccer', 'Throw-in', 'Soccer_America', 'Soccer_on_NBC_Sports', 'Soccer_on_Turner_Sports', 'Glory_Glory_(football_chant)__Glory_Glory,_Tottenham_Hotspur__1', 'Glory_Glory_(football_chant)__Glory_Glory,_Leeds_United__1', 'UEFA_Euro_2004_(video_game)', 'Direct_free_kick', 'Red_Issue', 'European_Football_Show', 'Calcio_2000', 'Nice_One_Cyril', 'Tottenham,_Tottenham', 'Goal_kick', 'Lords_of_Football', 'Dropped-ball', 'Lezate_Football', 'Gozareshe_Varzeshi', 'Dreamkix', 'Placar', ""Ossie's_Dream_(Spurs_Are_on_Their_Way_to_Wembley)"", 'Indirect_free_kick', 'UEFA_Euro_2000_(video_game)', 'Jugones_(TV_program)', 'Kick_Off_(magazine)', 'Glory_Glory_(football_chant)__Glory_Glory_Man_United__1', 'The_Big_Match', 'Hillhead_Centre', 'UEFA_Euro_96_England', 'International_Superstar_Soccer_(video_game)']"
Asynchronous_learning,"['Second_Life', 'Learning_management_system', 'Email']"
Auction,"['Real-time_bidding', 'CryptoKitties']"
Audio_codec,"['WavPack', 'SILK', 'Internet_Low_Bitrate_Codec', 'LDAC_(codec)', 'Combined_Community_Codec_Pack', 'Vorbis', 'Internet_Speech_Audio_Codec', 'TTA_(codec)', 'AptX', 'Speex', 'Shorten_(codec)', 'Apple_Lossless_Audio_Codec']"
Augmented_reality,"['Graphical_user_interface', 'Windows_Holographic', 'Mario_Kart_Live:_Home_Circuit', 'Harry_Potter:_Wizards_Unite', 'Treasure_World', 'IOS', 'Adobe_Aero', 'Minecraft_Earth', 'OpenXR', 'Junaio', 'LyteShot', 'Walking_with_Dinosaurs_(video_game)', 'Android_(operating_system)', 'Maguss', 'Google_Glass', 'Start_the_Party!', 'Snapchat', 'The_Playroom_(2013_video_game)', 'Book_of_Potions', 'Diggs_Nightcrawler', 'Book_of_Spells', 'Wikitude', 'SpecTrek', 'ARCore', 'Ingress_(video_game)', 'Sensorama', 'Ableton_Live', 'Pikmin_Bloom', 'Catan:_World_Explorers', 'Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½"
Authentication,"['GNU_Privacy_Guard', 'Secure_Shell', 'SQRL', 'Java_Authentication_and_Authorization_Service', 'Secure_Remote_Password_protocol', 'Basic_access_authentication', 'Pretty_Good_Privacy', 'RADIUS', 'OpenID']"
