Year,Total Tools,Percentage of Tools Matched,kubernetes,opencv,scikit-learn
2015,0.0,0.0,,,
2016,0.0,0.0,,,
2017,0.0,0.0,,,
2018,0.08583690987124463,0.028612303290414882,0.08583690987124463,,
2019,0.0,0.0,,,
2020,0.01893222264293828,0.01893222264293828,0.01893222264293828,,
2021,0.0,0.0,,,
2022,0.05284015852047556,0.02642007926023778,,0.02642007926023778,0.02642007926023778
