Top Domain,%GT Count of Top Domain
computer science,78.63%
mathematics,7.91%
education,3.33%
engineering,2.89%
semantics,2.55%
linguistics,2.23%
communication,1.21%
economics,0.76%
sociology,0.35%
geometry,0.06%
geology,0.05%
topology,0.03%
