Parent,Relation,Child
https://cso.kmi.open.ac.uk/topics/sulawesi,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Sulawesi
https://cso.kmi.open.ac.uk/topics/sumatra,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Sumatra
https://cso.kmi.open.ac.uk/topics/t-conorm,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/T-norm
https://cso.kmi.open.ac.uk/topics/type-2_fuzzy_set,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Fuzzy_set
https://cso.kmi.open.ac.uk/topics/type-2_fuzzy_set,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Fuzzy_set
https://cso.kmi.open.ac.uk/topics/type-2_fuzzy_set,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Fuzzy_set
https://cso.kmi.open.ac.uk/topics/vocoders,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Vocoder
https://cso.kmi.open.ac.uk/topics/binary_relation,<http://schema.org/relatedLink>,http://en.wikipedia.org/wiki/Binary_relation
https://cso.kmi.open.ac.uk/topics/code_excited_linear_prediction,<http://schema.org/relatedLink>,http://en.wikipedia.org/wiki/Code-excited_linear_prediction
https://cso.kmi.open.ac.uk/topics/defuzzification,<http://schema.org/relatedLink>,http://en.wikipedia.org/wiki/Defuzzification
https://cso.kmi.open.ac.uk/topics/fokker-planck_equation,<http://schema.org/relatedLink>,http://en.wikipedia.org/wiki/Fokkerï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï
https://cso.kmi.open.ac.uk/topics/fuzzification,<http://schema.org/relatedLink>,http://en.wikipedia.org/wiki/Fuzzy_set
https://cso.kmi.open.ac.uk/topics/fuzzy_arithmetics,<http://schema.org/relatedLink>,http://en.wikipedia.org/wiki/Arithmetic
https://cso.kmi.open.ac.uk/topics/fuzzy_data,<http://schema.org/relatedLink>,http://en.wikipedia.org/wiki/Fuzzy_set
https://cso.kmi.open.ac.uk/topics/fuzzy_mathematics,<http://schema.org/relatedLink>,http://en.wikipedia.org/wiki/Fuzzy_mathematics
https://cso.kmi.open.ac.uk/topics/fuzzy_membership_function,<http://schema.org/relatedLink>,http://en.wikipedia.org/wiki/Indicator_function
