Parent,Relation,Child
https://cso.kmi.open.ac.uk/topics/acoustic_wave_velocity_measurement,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Acoustic_wave
https://cso.kmi.open.ac.uk/topics/acoustics,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Acoustics
https://cso.kmi.open.ac.uk/topics/act-r,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/ACT-R
https://cso.kmi.open.ac.uk/topics/action_selection,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Action_selection
https://cso.kmi.open.ac.uk/topics/active_noise_control,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Active_noise_control
https://cso.kmi.open.ac.uk/topics/active_optics,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Active_optics
https://cso.kmi.open.ac.uk/topics/active_pixel_sensor,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Active_pixel_sensor
https://cso.kmi.open.ac.uk/topics/active_rfid,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Radio-frequency_identification
https://cso.kmi.open.ac.uk/topics/active_suspension,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Active_suspension
https://cso.kmi.open.ac.uk/topics/active_suspension_systems,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Active_suspension
https://cso.kmi.open.ac.uk/topics/activity_diagram,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Activity_diagram
https://cso.kmi.open.ac.uk/topics/activity_diagrams,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Activity_diagram
https://cso.kmi.open.ac.uk/topics/actor_network_theory,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Actorï¿½ï¿½ï¿½network_t
https://cso.kmi.open.ac.uk/topics/actor-network_theory,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Actorï¿½ï¿½ï¿½network_t
https://cso.kmi.open.ac.uk/topics/ad_hoc_wireless_networks,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Wireless_ad_hoc_network
https://cso.kmi.open.ac.uk/topics/ada_programming_language,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Ada_(programming_language)
https://cso.kmi.open.ac.uk/topics/adaboost,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/AdaBoost
https://cso.kmi.open.ac.uk/topics/adaboost_algorithm,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/AdaBoost
https://cso.kmi.open.ac.uk/topics/adaboost_learning,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/AdaBoost
https://cso.kmi.open.ac.uk/topics/adaptive_beamforming,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Beamforming
https://cso.kmi.open.ac.uk/topics/adaptive_beamforming_algorithms,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Beamforming
https://cso.kmi.open.ac.uk/topics/adaptive_control,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Adaptive_control
https://cso.kmi.open.ac.uk/topics/adaptive_control_schemes,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Adaptive_control
https://cso.kmi.open.ac.uk/topics/adaptive_control_systems,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Adaptive_control
https://cso.kmi.open.ac.uk/topics/adaptive_cruise_control,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Autonomous_cruise_control_system
https://cso.kmi.open.ac.uk/topics/adaptive_dynamic_programming,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Dynamic_programming
https://cso.kmi.open.ac.uk/topics/adaptive_e-learning_systems,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Educational_technology
https://cso.kmi.open.ac.uk/topics/adaptive_filter,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Adaptive_filter
https://cso.kmi.open.ac.uk/topics/adaptive_filtering,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Adaptive_filter
https://cso.kmi.open.ac.uk/topics/adaptive_filtering_algorithms,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Adaptive_filter
https://cso.kmi.open.ac.uk/topics/adaptive_fuzzy_control,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Fuzzy_control_system
https://cso.kmi.open.ac.uk/topics/adaptive_fuzzy_controller,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Fuzzy_control_system
https://cso.kmi.open.ac.uk/topics/adaptive_genetic_algorithm,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Genetic_algorithm
