Year,Total Tools,Percentage of Tools Matched,matlab,kubernetes,root,scikit-learn
2015,0.0,0.0,,,,
2016,0.38167938931297707,0.2544529262086514,0.38167938931297707,,,
2017,0.0,0.0,,,,
2018,0.08583690987124463,0.028612303290414882,,0.08583690987124463,,
2019,0.046699875466998754,0.046699875466998754,0.046699875466998754,,,
2020,0.03786444528587656,0.03786444528587656,,0.01893222264293828,0.01893222264293828,
2021,0.0,0.0,,,,
2022,0.02642007926023778,0.02642007926023778,,,,0.02642007926023778
