Year,root,jasper,matlab,hadoop,ink,power bi,ros (robot operating system),kubernetes,apache spark,siri,django,Total Tools,Percentage of Tools Matched,apache flink,flink,knime,tensorflow,amazon alexa,spss modeler,scikit-learn,andi,google assistant,docker,rapidminer,keras,apache mahout,xgboost,pytorch,opensmile,mxnet,ml.net,opennn,gboard,dlib,caffe,tiktok,deeplearning4j,kubeflow,sas (software),ibm cognos,cntk
2015,0.1107573030596705,0.09691264017721168,0.5537865152983524,1.2460196594212931,0.013844662882458813,0.06922331441229405,0.05537865152983525,0.04153398864737644,0.09691264017721168,0.013844662882458813,0.013844662882458813,2.3120587013706215,1.5921362314827634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,0.055487737210076576,0.061036510931084226,0.8323160581511486,1.0931084230385084,0.027743868605038288,0.033292642326045944,0.07213405837309954,0.16091443790922205,0.02219509488403063,0.011097547442015314,,2.413716568638331,1.5592054156031516,0.005548773721007657,0.005548773721007657,0.027743868605038288,0.005548773721007657,,,,,,,,,,,,,,,,,,,,,,,,
2017,0.1678224248757164,0.1361578164086001,1.16525759158988,0.7662835249042145,0.012665843386846523,0.06332921693423262,0.05699629524080935,0.30081378043760487,0.015832304233558154,0.028498147620404674,,2.827649536113486,1.9822044900414806,0.0063329216934232616,0.0063329216934232616,0.015832304233558154,0.05382983439409771,0.018998765080269785,0.0031664608467116308,0.0031664608467116308,0.0031664608467116308,0.0031664608467116308,,,,,,,,,,,,,,,,,,,
2018,0.1670564650851988,0.12320414300033412,1.4700968927497493,0.36961242900100233,0.0417641162712997,0.052205145339124626,0.0417641162712997,1.1318075509522219,0.0417641162712997,0.02088205813564985,0.006264617440694955,3.7295355830270633,2.672903441363181,0.006264617440694955,0.006264617440694955,,0.06682258603407952,0.05011693952555964,,0.01670564650851988,0.00417641162712997,0.0417641162712997,0.00835282325425994,0.006264617440694955,0.018793852322084862,0.02505846976277982,0.002088205813564985,0.00417641162712997,0.006264617440694955,,,,,,,,,,,,
2019,0.1480358810778422,0.112789242725975,1.2494933295736919,0.25377579613344375,0.03172197451668047,0.12512556614912854,0.021147983011120315,2.432018046278836,0.03524663835186719,0.03524663835186719,0.005286995752780079,4.670179581622403,3.574009128879333,0.0017623319175933594,0.0017623319175933594,,0.07049327670373438,0.012336323423153515,,0.03348430643427383,,0.022910314928713676,,,0.02819731068149375,0.014098655340746875,0.0035246638351867188,0.010573991505560158,0.0017623319175933594,0.017623319175933596,0.0017623319175933594,,,,,,,,,,
2020,0.213865283797339,0.15330166360694208,0.9652326967844503,0.2290061888449382,0.03595964948804815,0.2403618676306376,0.05488578079754717,4.192138085054034,0.06434884645229669,0.022711357571398832,0.013248291916649318,6.5787232431818605,4.845089615231751,0.00757045252379961,0.00757045252379961,0.0018926131309499024,0.17790563430929085,0.05299316766659727,,0.017033518178549124,0.0018926131309499024,0.01514090504759922,,,0.051100554535647366,,0.003785226261899805,0.03028181009519844,,,0.0018926131309499024,0.005677839392849708,0.0018926131309499024,0.005677839392849708,0.00757045252379961,0.0018926131309499024,0.0018926131309499024,,,,
2021,0.31569733235754155,0.05452953922539355,1.0073614877954282,0.17937348429405772,0.02582978173834431,0.3300472111010662,0.0674444300945657,6.497625095067947,0.07892433308938539,0.027264769612696776,0.014349878743524617,9.18105242010705,7.070185256934579,0.007174939371762308,0.007174939371762308,0.02439479386399185,0.1951583509119348,0.012914890869172154,,0.022959805989639388,0.0014349878743524617,0.010044915120467231,,,0.06026949072280339,,,0.12627893294301665,,0.0028699757487049234,0.028699757487049234,,0.0014349878743524617,0.0014349878743524617,,0.0014349878743524617,0.03300472111010662,0.022959805989639388,0.0014349878743524617,0.014349878743524617,0.007174939371762308
2022,0.380506167991442,0.04197754878197403,0.9641295075085647,0.15030670692900377,0.009478801337865102,0.2599899795528714,0.02708228953675744,6.93577435036358,0.04468577773564977,0.024374060583081694,0.008124686861027231,9.365055721810723,7.415130875164186,0.0027082289536757434,0.0027082289536757434,0.03520697639778467,0.24374060583081694,0.02031171715256808,,0.023019946106243822,0.009478801337865102,0.004062343430513616,0.004062343430513616,,0.02843640401359531,,,0.08937155547129955,,,0.01354114476837872,,,0.0013541144768378717,,0.02843640401359531,0.00677057238418936,0.004062343430513616,,0.0013541144768378717,
