Job ID,2015,2016,2017,2018,2019,2020,2021,2022
2511,9.0,20.0,28.0,33.0,32.0,30.0,37.0,41.0
2512,20.0,26.0,30.0,35.0,38.0,38.0,42.0,37.0
2513,7.0,12.0,19.0,23.0,26.0,24.0,24.0,25.0
2514,11.0,14.0,19.0,25.0,24.0,29.0,31.0,28.0
2519,8.0,11.0,12.0,20.0,14.0,16.0,17.0,17.0
431,1.0,3.0,3.0,10.0,6.0,6.0,9.0,7.0
7121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7126,2.0,3.0,3.0,2.0,8.0,6.0,,
8311,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0
