Tool Name,Alternate Tool Names
Windows_Mobile,"['pocket pc 2003, win mo, winmo 6.1, windows mobile 2003 second edition, windows mobile software development, sp2003, wm5, windows mobile software, winmo, winpad, smartphone 2002, microsoft windows mobile 2005, microsoft smartphone, windows mobile 2003 se, windows mobile classic, windows phone classic, windows mobile professional, microsoft windows mobile, microsoft windows mobile 2003 second edition, wm2003, windows mobile 2005, windows mobile standard, winmo 6, sp2003se, sp2002, stingeros, winmo 7, pocket excel, windows mobile, windows mobile 6.6, win mobile, windows mobile 5.0 pocket pc phone edition, ms windows mobile, windows mobile 2002, pocket pc 2003 second edition']"
Newton_OS,"['newtonos, rosetta (newton), apple newton software, apple newton os']"
Windows_Vista,"['windows vista operating system, windows vista version, windwos vista, winvis, windows vista versions, windowsvista, windows 6.0, windows vista system requirments, vista (operating system), widows vista, winvi, windows vsita, windows vista home, windows vista platform update, microsoft windows vista os, windows vista service pack, platform update for windows vista, windows vista version history, microsoft longhorn, vista sp1, windows vista fonts, windows vista, winvista, windows vista sp2, vista os, microsoft vista 2007, ms vista, microsoft windows vista operating system, windows vista os, windows longhorn/vista, vista sp2, winvis, microsoft windows vista, windows vista sp1, windows vista service pack 1, microsoft vista, vista operating system, windows(r) vista, longhorn xp professional, ms windows vista, windows codename longhorn, win vista, microsoft windows 2007, windows vista stickers, vista service pack 1, windows vista minimum requirements, vista service pack 2, windows vista service pack 2, window vista', 'windows vista operating system, windows vista version, windwos vista, winvis, windows vista versions, windowsvista, windows 6.0, windows vista system requirments, vista (operating system), widows vista, windows vsita, windows vista home, windows vista platform update, microsoft windows vista os, windows vista service pack, platform update for windows vista, windows vista version history, microsoft longhorn, vista sp1, windows vista fonts, windows vista, winvista, windows vista sp2, vista os, microsoft vista 2007, ms vista, microsoft windows vista operating system, windows vista os, windows longhorn/vista, vista sp2, microsoft windows vista, windows vista sp1, windows vista service pack 1, microsoft vista, vista operating system, windows(r) vista, longhorn xp professional, ms windows vista, windows codename longhorn, win vista, microsoft windows 2007, windows vista stickers, vista service pack 1, win, windows vista minimum requirements, vista service pack 2, windows vista service pack 2, window vista']"
PenPoint_OS,"['gos tablet computer, penpoint os, gos penpoint, penpoint']"
D3web,"[nan, nan]"
Versant_Object_Database,"['versant corporation', 'versant corporation', 'versant corporation']"
Enterprise_bookmarking,"['enterprise social bookmarking', 'enterprise social bookmarking', 'enterprise social bookmarking', 'enterprise social bookmarking', 'enterprise social bookmarking']"
YAGO_(database),"['yago (ontology), yago (kb), fabian suchanek, yago (knowledge base), yago (database), fabian martin suchanek', 'yago (ontology), yago (kb), fabian suchanek, yago (knowledge base), yago (database), fabian martin suchanek']"
Fle3,[nan]
Knowledge_Forum,"[nan, nan]"
Virtuoso_Universal_Server,"['openlink virtuoso, openlinkvirtuoso', 'openlink virtuoso, openlinkvirtuoso']"
DBpedia,"['dbpedia team, dbpedia, dbpedia spotlight, wiki.dbpedia.org', 'dbpedia team, dbpedia, dbpedia spotlight, wiki.dbpedia.org', 'dbpedia team, dbpedia, dbpedia spotlight, wiki.dbpedia.org']"
Document_warehouse,[nan]
IBM_Notes,"['lotus notes release 3.0, notes storage facility, ibm lotus domino, ibm notes, notes 3.0, ibm inotes webmail redirect, hlc domino, domino (software), notes release 3.0, lotus domino, lodus notes, dominoblog, lotus notes 2.1, hcl notes, lotus notes, ibm lotus notes, notes 2.1, domino xml, lotus notes release 2.1, lotus notes 3.0, notes release 2.1, lodus nodes, notes storage format, lotus notes mail, ibm domino, eproductivity', 'lotus notes release 3.0, notes storage facility, ibm lotus domino, ibm notes, notes 3.0, ibm inotes webmail redirect, hlc domino, domino (software), notes release 3.0, lotus domino, lodus notes, dominoblog, lotus notes 2.1, hcl notes, lotus notes, ibm lotus notes, notes 2.1, domino xml, lotus notes release 2.1, lotus notes 3.0, notes release 2.1, lodus nodes, notes storage format, lotus notes mail, ibm domino, eproductivity']"
Open-source_software,"['list of trademarked open-source software, principal of open source software, open source platform, open-source application, open sourced, advantages and disadvantages of open-source software development, open-sourcing, open source computer software, list of trademarked free software, open source software, opensource software, opensourcesoftware, philosophy of open source, open-source (software), open-source app, open-source platform, open source programming, open-source program, open sourcing, list of trademarked open source software, open source software in europe, open source code, open sourced software, open code, opensoftware, liberated (software), opensourcedevelopmentmodel, funding for open source projects, open software, open-source computer program', 'list of trademarked open-source software, principal of open source software, open source platform, open-source application, open sourced, advantages and disadvantages of open-source software development, open-sourcing, open source computer software, list of trademarked free software, open source software, opensource software, opensourcesoftware, philosophy of open source, open-source (software), open-source app, open-source platform, open source programming, open-source program, open sourcing, list of trademarked open source software, open source software in europe, open source code, open sourced software, open code, opensoftware, liberated (software), opensourcedevelopmentmodel, funding for open source projects, open software, open-source computer program', 'list of trademarked open-source software, principal of open source software, open source platform, open-source application, open sourced, advantages and disadvantages of open-source software development, open-sourcing, open source computer software, list of trademarked free software, open source software, opensource software, opensourcesoftware, philosophy of open source, open-source (software), open-source app, open-source platform, open source programming, open-source program, open sourcing, list of trademarked open source software, open source software in europe, open source code, open sourced software, open code, opensoftware, liberated (software), opensourcedevelopmentmodel, funding for open source projects, open software, open-source computer program', 'list of trademarked open-source software, principal of open source software, open source platform, open-source application, open sourced, advantages and disadvantages of open-source software development, open-sourcing, open source computer software, list of trademarked free software, open source software, opensource software, opensourcesoftware, philosophy of open source, open-source (software), open-source app, open-source platform, open source programming, open-source program, open sourcing, list of trademarked open source software, open source software in europe, open source code, open sourced software, open code, opensoftware, liberated (software), opensourcedevelopmentmodel, funding for open source projects, open software, open-source computer program', 'list of trademarked open-source software, principal of open source software, open source platform, open-source application, open sourced, advantages and disadvantages of open-source software development, open-sourcing, open source computer software, list of trademarked free software, open source software, opensource software, opensourcesoftware, philosophy of open source, open-source (software), open-source app, open-source platform, open source programming, open-source program, open sourcing, list of trademarked open source software, open source software in europe, open source code, open sourced software, open code, opensoftware, liberated (software), opensourcedevelopmentmodel, funding for open source projects, open software, open-source computer program', 'list of trademarked open-source software, principal of open source software, open source platform, open-source application, open sourced, advantages and disadvantages of open-source software development, open-sourcing, open source computer software, list of trademarked free software, open source software, opensource software, opensourcesoftware, philosophy of open source, open-source (software), open-source app, open-source platform, open source programming, open-source program, open sourcing, list of trademarked open source software, open source software in europe, open source code, open sourced software, open code, opensoftware, liberated (software), opensourcedevelopmentmodel, funding for open source projects, open software, open-source computer program']"
Collaborative_software,"['groupware, collaborative tools, collaboration platform, collaborative tool, groupware and collaborative systems, collaboration software, enterprise collaboration systems, collaborative graphical tools, workgroup support systems, software collaborative tool, group ware, team communication software', 'groupware, collaborative tools, collaboration platform, collaborative tool, groupware and collaborative systems, collaboration software, enterprise collaboration systems, collaborative graphical tools, workgroup support systems, software collaborative tool, group ware, team communication software']"
Open_Semantic_Framework,"['open semantic framework', 'open semantic framework']"
Jive_(software),"['clearspace, jive sbs, jive engage', 'clearspace, jive sbs, jive engage']"
Collective_Knowledge_(software),"[nan, nan]"
Intergator,"['inter:gator enterprise search, intergator enterprise search', 'inter:gator enterprise search, intergator enterprise search']"
Enterprise_portal,"['vendor portal, portal framework, enterprise information portals, corporate portal, enterprise portals, enterprise information portal, corporate portals', 'vendor portal, portal framework, enterprise information portals, corporate portal, enterprise portals, enterprise information portal, corporate portals']"
FDR_(software),"['failures-divergences refinement, failures-divergence refinement, fdr2', 'failures-divergences refinement, failures-divergence refinement, fdr2', 'failures-divergences refinement, failures-divergence refinement, fdr2']"
Joyce_(programming_language),"[nan, nan, nan]"
Limbo_(programming_language),"['limbo programming language, limbo (programing language), dis virtual machine, dis (virtual machine)', 'limbo programming language, limbo (programing language), dis virtual machine, dis (virtual machine)', 'limbo programming language, limbo (programing language), dis virtual machine, dis (virtual machine)']"
DirectX,"['directx 7.0a, dx 11, directx 12 ultimate, directx 8.0a, direct-x, performance investigator for xbox, directx 2.0a, directx, directx 6.1a, direct x 10, directx 7, dx9, microsoft directx, dx12, directx 11.2, directx 10.1, directx 11.0, dx 9, directx media objects, directx 10, directx9, directx 9c, directx 9.0, directx 3.0b, directx 1.0, directx 12, directx 8.0, directx 9.0b, directx 9.0c, directx5, directx 5.0, directx 8.1, directx8, directx 2.0, direct x 11, directx 6.1, dx 10, directx 3.0, alternatives to directx, directx 3.0a, directx 7.0, pix (microsoft), directx 11.1, directx 11, directx 8, directx 4.0, directx 9.0a, direct-x 9.0, directx10, directx 10.0, directx 5.2, directx 6.0, directx 9, direct x, direct x 12, directx 7.1, directx7, microsoft direct x, directx 11.3, directx12', 'directx 7.0a, dx 11, directx 12 ultimate, directx 8.0a, direct-x, performance investigator for xbox, directx 2.0a, directx, directx 6.1a, direct x 10, directx 7, dx9, microsoft directx, dx12, directx 11.2, directx 10.1, directx 11.0, dx 9, directx media objects, directx 10, directx9, directx 9c, directx 9.0, directx 3.0b, directx 1.0, directx 12, directx 8.0, directx 9.0b, directx 9.0c, directx5, directx 5.0, directx 8.1, directx8, directx 2.0, direct x 11, directx 6.1, dx 10, directx 3.0, alternatives to directx, directx 3.0a, directx 7.0, pix (microsoft), directx 11.1, directx 11, directx 8, directx 4.0, directx 9.0a, direct-x 9.0, directx10, directx 10.0, directx 5.2, directx 6.0, directx 9, direct x, direct x 12, directx 7.1, directx7, microsoft direct x, directx 11.3, directx12', 'directx 7.0a, dx 11, directx 12 ultimate, directx 8.0a, direct-x, performance investigator for xbox, directx 2.0a, directx, directx 6.1a, direct x 10, directx 7, dx9, microsoft directx, dx12, directx 11.2, directx 10.1, directx 11.0, dx 9, directx media objects, directx 10, directx9, directx 9c, directx 9.0, directx 3.0b, directx 1.0, directx 12, directx 8.0, directx 9.0b, directx 9.0c, directx5, directx 5.0, directx 8.1, directx8, directx 2.0, direct x 11, directx 6.1, dx 10, directx 3.0, alternatives to directx, directx 3.0a, directx 7.0, pix (microsoft), directx 11.1, directx 11, directx 8, directx 4.0, directx 9.0a, direct-x 9.0, directx10, directx 10.0, directx 5.2, directx 6.0, directx 9, direct x, direct x 12, directx 7.1, directx7, microsoft direct x, directx 11.3, directx12', 'directx 7.0a, dx 11, directx 12 ultimate, directx 8.0a, direct-x, performance investigator for xbox, directx 2.0a, directx, directx 6.1a, direct x 10, directx 7, dx9, microsoft directx, dx12, directx 11.2, directx 10.1, directx 11.0, dx 9, directx media objects, directx 10, directx9, directx 9c, directx 9.0, directx 3.0b, directx 1.0, directx 12, directx 8.0, directx 9.0b, directx 9.0c, directx5, directx 5.0, directx 8.1, directx8, directx 2.0, direct x 11, directx 6.1, dx 10, directx 3.0, alternatives to directx, directx 3.0a, directx 7.0, pix (microsoft), directx 11.1, directx 11, directx 8, directx 4.0, directx 9.0a, direct-x 9.0, directx10, directx 10.0, directx 5.2, directx 6.0, directx 9, direct x, direct x 12, directx 7.1, directx7, microsoft direct x, directx 11.3, directx12']"
OpenComRTOS,"[nan, nan, nan]"
DirectShow,"['directshow editing services, directshow, direct show, quartz.dll, dshow, directshow filter, video mixing renderer, vmr9', 'directshow editing services, directshow, direct show, quartz.dll, dshow, directshow filter, video mixing renderer, vmr9', 'directshow editing services, directshow, direct show, quartz.dll, dshow, directshow filter, video mixing renderer, vmr9']"
SPSS_Modeler,"['spss clementine', 'spss clementine', 'spss clementine', 'spss clementine']"
Just_another_Gibbs_sampler,"[nan, nan, nan, nan]"
WinBUGS,"['winbugs', 'winbugs']"
OpenBUGS,"['openbugs', 'openbugs', 'openbugs', 'openbugs']"
Visage_SDK,"[nan, nan]"
Snapchat,"['snap original, @snapchat, snapchar, snapchat discover, concerns of snapchat, 2014 snapchat hack, snapchat porn, snap map, snapchat.com, snapmap, snap chat, snapchat, snatchap, snapstreak, snapchat+, pompliano, anthony pompliano, snap porn, snap originals', 'snap original, @snapchat, snapchar, snapchat discover, concerns of snapchat, 2014 snapchat hack, snapchat porn, snap map, snapchat.com, snapmap, snap chat, snapchat, snatchap, snapstreak, snapchat+, pompliano, anthony pompliano, snap porn, snap originals']"
American_Recovery_and_Reinvestment_Act_of_2009,"['recovery and reinvestment act of 2009, 2009 u.s. stimulus package, recovery.gov, american reinvestment and recovery act of 2009, american recovery and reinvestment act, american reinvestment and recovery act, arizonas 15th congressional district, economic stimulus act of 2009, the american recovery and reinvestment act of 2009, american stimulus package, 2009 us stimulus package, arrp, stimulus plan, obama recovery plan, stimulus package of 2009, 2009 stimulus bill, u.s. stimulus plan, american recovery & reinvestment act, stimulus act, detailed comparison of house and senate versions of the american recovery and reinvestment act of 2009, obama stimulus, recovery bill, stimulus bill of 2009, american recovery and reinvestment plan, economic stimulus bill, 2009 american recovery & reinvestment act, obama stimulus plan, detailed comparison of house and senate american recovery and reinvestment act of 2009 version, arizonas 14th congressional district, p.l. 111-5, american recovery and reinvestment tax act of 2009, recovery act, 2009 stimulus, obama stimulus package', 'recovery and reinvestment act of 2009, 2009 u.s. stimulus package, recovery.gov, american reinvestment and recovery act of 2009, american recovery and reinvestment act, american reinvestment and recovery act, arizonas 15th congressional district, economic stimulus act of 2009, the american recovery and reinvestment act of 2009, american stimulus package, 2009 us stimulus package, arrp, stimulus plan, obama recovery plan, stimulus package of 2009, 2009 stimulus bill, u.s. stimulus plan, american recovery & reinvestment act, stimulus act, detailed comparison of house and senate versions of the american recovery and reinvestment act of 2009, obama stimulus, recovery bill, stimulus bill of 2009, american recovery and reinvestment plan, economic stimulus bill, 2009 american recovery & reinvestment act, obama stimulus plan, detailed comparison of house and senate american recovery and reinvestment act of 2009 version, arizonas 14th congressional district, p.l. 111-5, american recovery and reinvestment tax act of 2009, recovery act, 2009 stimulus, obama stimulus package', 'recovery and reinvestment act of 2009, 2009 u.s. stimulus package, recovery.gov, american reinvestment and recovery act of 2009, american recovery and reinvestment act, american reinvestment and recovery act, arizonas 15th congressional district, economic stimulus act of 2009, the american recovery and reinvestment act of 2009, american stimulus package, 2009 us stimulus package, arrp, stimulus plan, obama recovery plan, stimulus package of 2009, 2009 stimulus bill, u.s. stimulus plan, american recovery & reinvestment act, stimulus act, detailed comparison of house and senate versions of the american recovery and reinvestment act of 2009, obama stimulus, recovery bill, stimulus bill of 2009, american recovery and reinvestment plan, economic stimulus bill, 2009 american recovery & reinvestment act, obama stimulus plan, detailed comparison of house and senate american recovery and reinvestment act of 2009 version, arizonas 14th congressional district, p.l. 111-5, american recovery and reinvestment tax act of 2009, recovery act, 2009 stimulus, obama stimulus package']"
Microsoft_SharePoint_Workspace,"['microsoft office live groove 2007, groove folder, groove virtual office, microsoft office groove server, groove workspace 2.0, groove virtual office 3, groove folder synchronisation, groove 2007, groove workspace, ms groove, groove virtual office 3.0, microsoft sharepoint workspace, groove folder synchronization, grooviquette, groove server, sharepoint workspace, microsoft office live groove, microsoft office sharepoint workspace, microsoft office groove, office groove 2007, groove workspace 2, groove (software), microsoft office groove 2007, groove virtual office 3.1']"
Camunda,[nan]
Automation_Studio,[nan]
Semantic_MediaWiki,"['semantic mw, smwcon, semantic mediawiki', 'semantic mw, smwcon, semantic mediawiki']"
SkaDate_Dating_Software,[nan]
Bulletin_board_system,"['emulex/2, electronic bulletin board, bulletin board system, computer bulletin board system, bbs network, bbses, bulletin boards, bulletin board systems, proboard, bulletin-board system, bulletin board service', 'emulex/2, electronic bulletin board, bulletin board system, computer bulletin board system, bbs network, bbses, bulletin boards, bulletin board systems, proboard, bulletin-board system, bulletin board service']"
PLATO_(computer_system),"['plato v, programmed logic for automatic teaching operations, plato system, plato iv, plato ii, plato network, plato (computer system), plato terminals, computer-based education research laboratory, plato iii, plato computer']"
Wolfram_Alpha,"['wolfram alpha, wolfram alpha llc, wolframalpha.com, wolfram (search engine), wolfram search, wolframalpha']"
Social_cataloging_application,"['social catalog, social cataloging applications, social cataloging']"
Social_media,"['privacy risks of social media, social media censorship, social-media campaign, social media exchange, pros and cons of social media, social media-fueled protests, controversies surrounding social media, privacy on social media, social media services, criticism of social media, social media platforms, social it, political effects of social media, social platform, social-media, political polarization on social media, politics and social media, social media webpage, social media portal, privacy issues in social media, social media privacy, social media site, health effects of social media, facebook addiction disorder, social media, socmed, social media network, political polarization of social media, social content, social media ads, politics of social media, violent extremism on social media, social media patent, use of social media by extremist groups, social media censorship controversy, cyborg (social media), social media politics, use of social media in investigations, social media apps, impact of social media on mental health, roi of social media, extremism and social media, social media platform, social platforms, use of social media by law enforcement, privacy issues on social media, social media campaign, social impacts of social media, social media use by law enforcement, harmful effects of social media, censorship of social media, social media stereotypes, history of social media, political impact of social media, social media service, social media website', 'privacy risks of social media, social media censorship, social-media campaign, social media exchange, pros and cons of social media, social media-fueled protests, controversies surrounding social media, privacy on social media, social media services, criticism of social media, social media platforms, social it, political effects of social media, social platform, social-media, political polarization on social media, politics and social media, social media webpage, social media portal, privacy issues in social media, social media privacy, social media site, health effects of social media, facebook addiction disorder, social media, socmed, social media network, political polarization of social media, social content, social media ads, politics of social media, violent extremism on social media, social media patent, use of social media by extremist groups, social media censorship controversy, cyborg (social media), social media politics, use of social media in investigations, social media apps, impact of social media on mental health, roi of social media, extremism and social media, social media platform, social platforms, use of social media by law enforcement, privacy issues on social media, social media campaign, social impacts of social media, social media use by law enforcement, harmful effects of social media, censorship of social media, social media stereotypes, history of social media, political impact of social media, social media service, social media website', 'privacy risks of social media, social media censorship, social-media campaign, social media exchange, pros and cons of social media, social media-fueled protests, controversies surrounding social media, privacy on social media, social media services, criticism of social media, social media platforms, social it, political effects of social media, social platform, social-media, political polarization on social media, politics and social media, social media webpage, social media portal, privacy issues in social media, social media privacy, social media site, health effects of social media, facebook addiction disorder, social media, socmed, social media network, political polarization of social media, social content, social media ads, politics of social media, violent extremism on social media, social media patent, use of social media by extremist groups, social media censorship controversy, cyborg (social media), social media politics, use of social media in investigations, social media apps, impact of social media on mental health, roi of social media, extremism and social media, social media platform, social platforms, use of social media by law enforcement, privacy issues on social media, social media campaign, social impacts of social media, social media use by law enforcement, harmful effects of social media, censorship of social media, social media stereotypes, history of social media, political impact of social media, social media service, social media website', 'privacy risks of social media, social media censorship, social-media campaign, social media exchange, pros and cons of social media, social media-fueled protests, controversies surrounding social media, privacy on social media, social media services, criticism of social media, social media platforms, social it, political effects of social media, social platform, social-media, political polarization on social media, politics and social media, social media webpage, social media portal, privacy issues in social media, social media privacy, social media site, health effects of social media, facebook addiction disorder, social media, socmed, social media network, political polarization of social media, social content, social media ads, politics of social media, violent extremism on social media, social media patent, use of social media by extremist groups, social media censorship controversy, cyborg (social media), social media politics, use of social media in investigations, social media apps, impact of social media on mental health, roi of social media, extremism and social media, social media platform, social platforms, use of social media by law enforcement, privacy issues on social media, social media campaign, social impacts of social media, social media use by law enforcement, harmful effects of social media, censorship of social media, social media stereotypes, history of social media, political impact of social media, social media service, social media website', 'privacy risks of social media, social media censorship, social-media campaign, social media exchange, pros and cons of social media, social media-fueled protests, controversies surrounding social media, privacy on social media, social media services, criticism of social media, social media platforms, social it, political effects of social media, social platform, social-media, political polarization on social media, politics and social media, social media webpage, social media portal, privacy issues in social media, social media privacy, social media site, health effects of social media, facebook addiction disorder, social media, socmed, social media network, political polarization of social media, social content, social media ads, politics of social media, violent extremism on social media, social media patent, use of social media by extremist groups, social media censorship controversy, cyborg (social media), social media politics, use of social media in investigations, social media apps, impact of social media on mental health, roi of social media, extremism and social media, social media platform, social platforms, use of social media by law enforcement, privacy issues on social media, social media campaign, social impacts of social media, social media use by law enforcement, harmful effects of social media, censorship of social media, social media stereotypes, history of social media, political impact of social media, social media service, social media website']"
Internet_Relay_Chat,"['irc network, internet relay chat network, irc url, ircv3, kiwiirc, irc info, irc access, channel delay, mut (software), irc protocol, vhost (irc), nick delay, internet relay chat clients, irc, internet relay chat channel operator, hostmask, internet relay chat, kiwi irc, vhost (internet relay chat), irc channels, list of irc servers, irc channel, irc client, irc clients, internet relay chat client, internet relay chat (irc), tolsun.oulu.fi, irc cloak, multiuser talk, irc channel operator, port 194, oulubox, internet relay chat channel, irc chat, 6667']"
Jamroom,[nan]
VTime_XR,['vtime']
Tiki_Wiki_CMS_Groupware,"['tiki wiki, tikiwiki', 'tiki wiki, tikiwiki']"
Free_software,"['freedom software, fsfs %22free software%22 ideal, freedom-ware, free source, free-software, freedom-respecting software, free-libre software, free software development, free and open source software (foss) for development, free sofware, freedomware, allie-, four freedoms (software), economic impact of free software, 4 software freedoms, software libre, free software, free (software), free computer software, four freedoms (free software), free-source software, business models for free software, freed software, libre software, security of free software, free-source']"
MediaWiki,"['mediawiki, medaiwiki, multilingual mediawiki, brion vibber, inter-wiki link, mediawiki wiki, template feature, media wiki, wikipedia php script, mediawiki 1.5, mediawiki templates, mediawiki talk page, talk page, mediawiki extension, mediawiki-based service, interlanguage link, mediawiki markup language, category feature, cirrus-search, mediawiki logo, wikimail, mediawiki markup, special page, inter-language link, media-wiki, history of mediawiki, special pages, intelpedia, resource loader, mediawiki versions, mediawiki.org, mediawiki template, localsettings.php, because ideas want to be free, interwiki link, mediawiki software, anti-vandal bot, mediawik, pywikibot, mediawiki namespace, wikimedia mediawiki, phase ii software, talk pages, talkpage, cirrus search, m.mediawiki.org, cirrussearch', 'mediawiki, medaiwiki, multilingual mediawiki, brion vibber, inter-wiki link, mediawiki wiki, template feature, media wiki, wikipedia php script, mediawiki 1.5, mediawiki templates, mediawiki talk page, talk page, mediawiki extension, mediawiki-based service, interlanguage link, mediawiki markup language, category feature, cirrus-search, mediawiki logo, wikimail, mediawiki markup, special page, inter-language link, media-wiki, history of mediawiki, special pages, intelpedia, resource loader, mediawiki versions, mediawiki.org, mediawiki template, localsettings.php, because ideas want to be free, interwiki link, mediawiki software, anti-vandal bot, mediawik, pywikibot, mediawiki namespace, wikimedia mediawiki, phase ii software, talk pages, talkpage, cirrus search, m.mediawiki.org, cirrussearch']"
Membership_software,['association management system']
Virtual_world,"['3d web, massively multiplayer online world, mmow, intraverse, virtual worlds, electronic battlefield, ingame, muves, muve, online world, in-game, multi-user virtual environment, virtual online worlds, synthetic world, virtual city, cyberworlds, virtual world, onworld, game-based world, on-world']"
PH7Builder,['ph7cms']
Colwiz,"['colwiz (software), colwiz']"
Internet_Key_Exchange,"['ike v2, internet key exchange, ikev2, internet key, ikev1']"
Secure_Shell,"['secure shell, tatu ylonen, ssh -x, ssh communications security, ossh, ssh public key, port 22, ssh://, , ssh-1.99, sshtunnels, ssh without password in linux, public ssh key, ssh, ssh: uri, ssh tunelling, secure shell daemon, ssh key, ssh (secure shell), tectia, secure shell protocol, secure shell host']"
Dapr,[nan]
Torch_(machine_learning),"['torch (library)', 'torch (library)', 'torch (library)', 'torch (library)', 'torch (library)', 'torch (library)', 'torch (library)']"
Accord.NET,"['accord.net framework', 'accord.net framework']"
RapidMiner,"[nan, nan, nan, nan]"
Stata,"['stata journal, stata j., stata j, stata press, the stata journal, stata', 'stata journal, stata j., stata j, stata press, the stata journal, stata', 'stata journal, stata j., stata j, stata press, the stata journal, stata', 'stata journal, stata j., stata j, stata press, the stata journal, stata']"
Mlpack,"['mlpack (c++ library)', 'mlpack (c++ library)', 'mlpack (c++ library)', 'mlpack (c++ library)']"
Apache_Mahout,"[nan, nan, nan, nan, nan, nan, nan]"
ELKI,"['environment for developing kdd-applications supported by index-structures', 'environment for developing kdd-applications supported by index-structures', 'environment for developing kdd-applications supported by index-structures', 'environment for developing kdd-applications supported by index-structures']"
Android_(operating_system),"['android (operating system), criticism of android, android mobile, android (system), android client, android apps, android (software stack), droiddream, android.com, android linux, android inc, android mobile phone, android (google), privacy features of android, history of the android operating system, anr dialog, android, google android, quantum (design), google android linux os, idroid, android (platform), app ops, android os, os android, android system, android (phone), android device, android malware, android (mobile phone platform), android (os), android-powered device, android fork, android platform, android logo, settings (android operating system), wakelock, google android one, android mobile phone platform, android security, android software, android app, green robot, android (software), android open source project, android (mobile device platform), android application, android phone operating system, android (company), ashmem, android google, @android, quantum (user interface design), googles android, security vulnerabilities in android, android cellphone, android operating system, mobile android, android inc., taintdroid, toxic hellstew, logo android, bugdroid, android phone, inc., andromeda (operating system), android devices, android cell phone, android.os, android device manager', 'android (operating system), criticism of android, android mobile, android (system), android client, android apps, android (software stack), droiddream, android.com, android linux, android inc, android mobile phone, android (google), privacy features of android, history of the android operating system, anr dialog, android, google android, quantum (design), google android linux os, idroid, android (platform), app ops, android os, os android, android system, android (phone), android device, android malware, android (mobile phone platform), android (os), android-powered device, android fork, android platform, android logo, settings (android operating system), wakelock, google android one, android mobile phone platform, android security, android software, android app, green robot, android (software), android open source project, android (mobile device platform), android application, android phone operating system, android (company), ashmem, android google, @android, quantum (user interface design), googles android, security vulnerabilities in android, android cellphone, android operating system, mobile android, android inc., taintdroid, toxic hellstew, logo android, bugdroid, android phone, inc., andromeda (operating system), android devices, android cell phone, android.os, android device manager', 'android (operating system), criticism of android, android mobile, android (system), android client, android apps, android (software stack), droiddream, android.com, android linux, android inc, android mobile phone, android (google), privacy features of android, history of the android operating system, anr dialog, android, google android, quantum (design), google android linux os, idroid, android (platform), app ops, android os, os android, android system, android (phone), android device, android malware, android (mobile phone platform), android (os), android-powered device, android fork, android platform, android logo, settings (android operating system), wakelock, google android one, android mobile phone platform, android security, android software, android app, green robot, android (software), android open source project, android (mobile device platform), android application, android phone operating system, android (company), ashmem, android google, @android, quantum (user interface design), googles android, security vulnerabilities in android, android cellphone, android operating system, mobile android, android inc., taintdroid, toxic hellstew, logo android, bugdroid, android phone, inc., andromeda (operating system), android devices, android cell phone, android.os, android device manager', 'android (operating system), criticism of android, android mobile, android (system), android client, android apps, android (software stack), droiddream, android.com, android linux, android inc, android mobile phone, android (google), privacy features of android, history of the android operating system, anr dialog, android, google android, quantum (design), google android linux os, idroid, android (platform), app ops, android os, os android, android system, android (phone), android device, android malware, android (mobile phone platform), android (os), android-powered device, android fork, android platform, android logo, settings (android operating system), wakelock, google android one, android mobile phone platform, android security, android software, android app, green robot, android (software), android open source project, android (mobile device platform), android application, android phone operating system, android (company), ashmem, android google, @android, quantum (user interface design), googles android, security vulnerabilities in android, android cellphone, android operating system, mobile android, android inc., taintdroid, toxic hellstew, logo android, bugdroid, android phone, inc., andromeda (operating system), android devices, android cell phone, android.os, android device manager', 'android (operating system), criticism of android, android mobile, android (system), android client, android apps, android (software stack), droiddream, android.com, android linux, android inc, android mobile phone, android (google), privacy features of android, history of the android operating system, anr dialog, android, google android, quantum (design), google android linux os, idroid, android (platform), app ops, android os, os android, android system, android (phone), android device, android malware, android (mobile phone platform), android (os), android-powered device, android fork, android platform, android logo, settings (android operating system), wakelock, google android one, android mobile phone platform, android security, android software, android app, green robot, android (software), android open source project, android (mobile device platform), android application, android phone operating system, android (company), ashmem, android google, @android, quantum (user interface design), googles android, security vulnerabilities in android, android cellphone, android operating system, mobile android, android inc., taintdroid, toxic hellstew, logo android, bugdroid, android phone, inc., andromeda (operating system), android devices, android cell phone, android.os, android device manager', 'android (operating system), criticism of android, android mobile, android (system), android client, android apps, android (software stack), droiddream, android.com, android linux, android inc, android mobile phone, android (google), privacy features of android, history of the android operating system, anr dialog, android, google android, quantum (design), google android linux os, idroid, android (platform), app ops, android os, os android, android system, android (phone), android device, android malware, android (mobile phone platform), android (os), android-powered device, android fork, android platform, android logo, settings (android operating system), wakelock, google android one, android mobile phone platform, android security, android software, android app, green robot, android (software), android open source project, android (mobile device platform), android application, android phone operating system, android (company), ashmem, android google, @android, quantum (user interface design), googles android, security vulnerabilities in android, android cellphone, android operating system, mobile android, android inc., taintdroid, toxic hellstew, logo android, bugdroid, android phone, inc., andromeda (operating system), android devices, android cell phone, android.os, android device manager']"
SAP_HANA,"['high-perf', 'high-perf']"
Orange_(software),"[nan, nan, nan, nan, nan, nan, nan, nan, nan]"
