Original URL,Link Type,Link Subtype,Links
https://cso.kmi.open.ac.uk/topics/dominance%2C_ocular,wikipedia,related link,http://en.wikipedia.org/wiki/Ocular_dominance
https://cso.kmi.open.ac.uk/topics/ieee_802.11_wireless_lan,dbpedia,same as,http://dbpedia.org/resource/IEEE_802.11
https://cso.kmi.open.ac.uk/topics/ieee_802.11_wireless_lan,other,same as,http://www.wikidata.org/entity/Q193228
https://cso.kmi.open.ac.uk/topics/ieee_802.11_wireless_lan,other,same as,http://rdf.freebase.com/ns/m.03t5p
https://cso.kmi.open.ac.uk/topics/ieee_802.11_wireless_lan,other,same as,http://yago-knowledge.org/resource/IEEE_802.11
https://cso.kmi.open.ac.uk/topics/ieee_802.11_wireless_lan,wikipedia,related link,http://en.wikipedia.org/wiki/IEEE_802.11
https://cso.kmi.open.ac.uk/topics/cpm,other,related link,https://academic.microsoft.com/#/detail/45178570
https://cso.kmi.open.ac.uk/topics/speech_translation,other,related link,https://academic.microsoft.com/#/detail/2780366754
https://cso.kmi.open.ac.uk/topics/order_picking,dbpedia,same as,http://dbpedia.org/resource/Order_picking
https://cso.kmi.open.ac.uk/topics/order_picking,other,same as,http://www.wikidata.org/entity/Q629369
https://cso.kmi.open.ac.uk/topics/order_picking,other,same as,http://rdf.freebase.com/ns/m.064pybd
https://cso.kmi.open.ac.uk/topics/order_picking,other,related link,https://academic.microsoft.com/#/detail/2779454638
https://cso.kmi.open.ac.uk/topics/order_picking,wikipedia,related link,http://en.wikipedia.org/wiki/Order_picking
https://cso.kmi.open.ac.uk/topics/software_quality_control,other,related link,https://academic.microsoft.com/#/detail/176035894
https://cso.kmi.open.ac.uk/topics/computer_clusters,dbpedia,same as,http://dbpedia.org/resource/Computer_cluster
https://cso.kmi.open.ac.uk/topics/computer_clusters,other,same as,http://www.wikidata.org/entity/Q206637
https://cso.kmi.open.ac.uk/topics/computer_clusters,other,same as,http://rdf.freebase.com/ns/m.027zhnb
https://cso.kmi.open.ac.uk/topics/computer_clusters,other,same as,http://yago-knowledge.org/resource/Cluster_(computing)
https://cso.kmi.open.ac.uk/topics/computer_clusters,wikipedia,related link,http://en.wikipedia.org/wiki/Computer_cluster
https://cso.kmi.open.ac.uk/topics/electrochemical_machining,other,related link,https://academic.microsoft.com/#/detail/2777887233
https://cso.kmi.open.ac.uk/topics/multi-resolution_analysis,dbpedia,same as,http://dbpedia.org/resource/Multiresolution_analysis
https://cso.kmi.open.ac.uk/topics/multi-resolution_analysis,other,same as,http://www.wikidata.org/entity/Q1952516
https://cso.kmi.open.ac.uk/topics/multi-resolution_analysis,other,same as,http://rdf.freebase.com/ns/m.069987
https://cso.kmi.open.ac.uk/topics/multi-resolution_analysis,other,same as,http://yago-knowledge.org/resource/Multiresolution_analysis
https://cso.kmi.open.ac.uk/topics/multi-resolution_analysis,wikipedia,related link,http://en.wikipedia.org/wiki/Multiresolution_analysis
https://cso.kmi.open.ac.uk/topics/non-monotonic_reasoning,dbpedia,same as,http://dbpedia.org/resource/Non-monotonic_logic
https://cso.kmi.open.ac.uk/topics/non-monotonic_reasoning,other,same as,http://www.wikidata.org/entity/Q2488768
https://cso.kmi.open.ac.uk/topics/non-monotonic_reasoning,other,same as,http://rdf.freebase.com/ns/m.01y29p
https://cso.kmi.open.ac.uk/topics/non-monotonic_reasoning,wikipedia,related link,http://en.wikipedia.org/wiki/Non-monotonic_logic
https://cso.kmi.open.ac.uk/topics/business_process_reengineering_%28bpr%29,dbpedia,same as,http://dbpedia.org/resource/Business_process
https://cso.kmi.open.ac.uk/topics/business_process_reengineering_%28bpr%29,other,same as,http://www.wikidata.org/entity/Q851587
https://cso.kmi.open.ac.uk/topics/business_process_reengineering_%28bpr%29,other,same as,http://rdf.freebase.com/ns/m.01ybqv
https://cso.kmi.open.ac.uk/topics/business_process_reengineering_%28bpr%29,other,same as,http://yago-knowledge.org/resource/Business_process
https://cso.kmi.open.ac.uk/topics/business_process_reengineering_%28bpr%29,wikipedia,related link,http://en.wikipedia.org/wiki/Business_process
https://cso.kmi.open.ac.uk/topics/electrical_energy,dbpedia,same as,http://dbpedia.org/resource/Electrical_energy
https://cso.kmi.open.ac.uk/topics/electrical_energy,other,same as,http://www.wikidata.org/entity/Q206799
https://cso.kmi.open.ac.uk/topics/electrical_energy,other,same as,http://rdf.freebase.com/ns/m.0n5wc2k
https://cso.kmi.open.ac.uk/topics/electrical_energy,wikipedia,related link,http://en.wikipedia.org/wiki/Electrical_energy
https://cso.kmi.open.ac.uk/topics/intelligibility,other,related link,https://academic.microsoft.com/#/detail/2780599629
https://cso.kmi.open.ac.uk/topics/cooperative_game,dbpedia,same as,http://dbpedia.org/resource/Cooperative_game_theory
https://cso.kmi.open.ac.uk/topics/cooperative_game,other,same as,http://www.wikidata.org/entity/Q1418321
