Parent URL,Type,Tool URL,German Parent URL,German Tool URL
http://dbpedia.org/resource/Information_retrieval,Tool,http://dbpedia.org/resource/Gensim,http://de.dbpedia.org/resource/Kategorie:Information_Retrieval,
http://dbpedia.org/resource/Information_retrieval,Tool,http://dbpedia.org/resource/Azure_Cognitive_Search,http://de.dbpedia.org/resource/Kategorie:Information_Retrieval,
http://dbpedia.org/resource/Linked_data,Tool,http://dbpedia.org/resource/UMBEL,http://de.dbpedia.org/resource/Linked_Open_Data,
http://dbpedia.org/resource/Linked_data,Tool,http://dbpedia.org/resource/Computer_Science_Ontology,http://de.dbpedia.org/resource/Linked_Open_Data,
http://dbpedia.org/resource/Linked_data,Tool,http://dbpedia.org/resource/Open_Semantic_Framework,http://de.dbpedia.org/resource/Linked_Open_Data,
http://dbpedia.org/resource/Linked_data,Tool,http://dbpedia.org/resource/BabelNet,http://de.dbpedia.org/resource/Linked_Open_Data,
http://dbpedia.org/resource/Linked_data,Tool,http://dbpedia.org/resource/YAGO_(database),http://de.dbpedia.org/resource/Linked_Open_Data,
http://dbpedia.org/resource/Marketing,Tool,http://dbpedia.org/resource/Promotional_Space,http://de.dbpedia.org/resource/Kategorie:Marketing,
http://dbpedia.org/resource/Marketing,Tool,http://dbpedia.org/resource/Horus_Music,http://de.dbpedia.org/resource/Kategorie:Marketing,
http://dbpedia.org/resource/Marketing,Tool,http://dbpedia.org/resource/Brandweek,http://de.dbpedia.org/resource/Kategorie:Marketing,
http://dbpedia.org/resource/Marketing,Tool,http://dbpedia.org/resource/Ad_Age,http://de.dbpedia.org/resource/Kategorie:Marketing,
http://dbpedia.org/resource/Marketing,Tool,http://dbpedia.org/resource/Twin_Planet,http://de.dbpedia.org/resource/Kategorie:Marketing,
http://dbpedia.org/resource/Public_key_infrastructure,Tool,http://dbpedia.org/resource/OpenXPKI,http://de.dbpedia.org/resource/Public-Key-Infrastruktur,
http://dbpedia.org/resource/Public_key_infrastructure,Tool,http://dbpedia.org/resource/EJBCA,http://de.dbpedia.org/resource/Public-Key-Infrastruktur,http://de.dbpedia.org/resource/Enterprise_JavaBeans_Certificate_Authority
http://dbpedia.org/resource/Public_key_infrastructure,Tool,http://dbpedia.org/resource/OpenIKED,http://de.dbpedia.org/resource/Public-Key-Infrastruktur,
http://dbpedia.org/resource/Medical_imaging,Tool,http://dbpedia.org/resource/MeVisLab,http://de.dbpedia.org/resource/Kategorie:Bildgebendes_Verfahren_(Medizin),
http://dbpedia.org/resource/Medical_imaging,Tool,http://dbpedia.org/resource/Studierfenster,http://de.dbpedia.org/resource/Kategorie:Bildgebendes_Verfahren_(Medizin),
http://dbpedia.org/resource/Social_network,Tool,http://dbpedia.org/resource/Blued_(app),http://de.dbpedia.org/resource/Soziales_Netzwerk_(Soziologie),
http://dbpedia.org/resource/Social_network,Tool,http://dbpedia.org/resource/KakaoStory,http://de.dbpedia.org/resource/Soziales_Netzwerk_(Soziologie),
http://dbpedia.org/resource/Social_network,Tool,http://dbpedia.org/resource/KakaoStyle,http://de.dbpedia.org/resource/Soziales_Netzwerk_(Soziologie),
http://dbpedia.org/resource/Social_network,Tool,http://dbpedia.org/resource/Jadaliyya,http://de.dbpedia.org/resource/Soziales_Netzwerk_(Soziologie),
