Year,431,7126,7121,8311,2511,2512,2513,2514,2519
2015,15503,16552,737,224,10822,77022,11215,7223,6642
2016,18006,32417,2027,786,20874,133412,22806,18022,13512
2017,21172,48157,4753,1751,28926,148887,28339,31581,15212
2018,32237,60412,6506,3495,39008,195713,36372,47888,25203
2019,44382,99105,7907,6424,54113,249799,40456,56743,31206
2020,43851,91354,10931,5282,47556,218093,40437,52837,25589
2021,66452,,11556,7352,70750,291277,55421,69687,36555
2022,74729,,8455,7570,74508,316592,54256,73849,38752
