Top Domain,%GT Count of Top Domain
computer science,67.66%
mathematics,17.00%
engineering,5.23%
semantics,2.39%
linguistics,2.12%
communication,1.69%
education,1.17%
geometry,0.69%
economics,0.69%
sociology,0.58%
topology,0.47%
geology,0.32%
