Year,ASP.NET,Windows Server,.NET Framework,Microsoft SQL Server,Visual Studio,Windows Server 2008,Windows Server 2012,TypeScript,Windows 7,Windows 8,Microsoft Excel,Microsoft Azure,Microsoft PowerPoint,Windows 10,Microsoft Word,Microsoft Access,Exchange Server,Total Tools,Percentage of Tools Matched,Visual Basic,Microsoft Office Suite,Power BI,Microsoft Outlook,.NET Core,Windows Server 2016,Dynamics 365,Exchange Online,PowerApps,OneDrive,Microsoft Teams,Microsoft Surface,Azure Cognitive Services,Dynamics 365 Business Central,Azure DevOps,Azure DevOps Services,Windows Server 2019,OneDrive for Business,.NET 5,Microsoft Edge,.NET 6,Windows 11
2015,4.262148907712884,1.1948283548818546,0.3120820329915292,0.28533214444939814,1.1680784663397237,0.08916629514043692,0.03566651805617477,0.43691484618814086,0.0980829246544806,0.11591618368256798,0.053499777084262144,0.16941596076683013,0.07133303611234953,0.12483281319661169,0.08024966562639323,0.026749888542131072,0.03566651805617477,8.559964333481943,4.2532322781988405,,,,,,,,,,,,,,,,,,,,,,
2016,3.424537402437955,0.7278786284311146,0.21924055073226345,0.26308866087871613,1.6092256423748137,0.017539244058581073,0.043848110146452686,2.03893712181005,0.035078488117162146,0.035078488117162146,0.017539244058581073,0.28062790493729717,0.07015697623432429,0.10523546435148645,0.017539244058581073,,0.004384811014645268,8.945014469876348,4.972375690607735,0.008769622029290536,0.017539244058581073,0.008769622029290536,,,,,,,,,,,,,,,,,,,
2017,2.8017925826599384,0.5716503758071915,0.36345672042062177,0.2540668336920851,1.5773315925050282,0.014114824094004727,0.05293059035251773,4.795511485938107,0.05293059035251773,0.017643530117505912,0.03175835421151064,0.43755954691414656,0.04587317830551537,0.14820565298704966,0.05998800239952009,,0.03175835421151064,11.468294576378842,7.0503546349553625,,0.017643530117505912,0.06351670842302128,0.014114824094004727,0.09174635661103074,0.007057412047002364,0.007057412047002364,0.010586118070503546,,,,,,,,,,,,,,
2018,2.6696359837237433,0.681843176069504,0.45639502914329705,0.2941823380622457,2.1829979104805894,0.04948861761794787,0.027493676454415486,6.076102496425822,0.057736720554272515,0.013746838227207743,0.05498735290883097,0.5278785879247773,0.04124051468162323,0.14571648520840208,0.057736720554272515,0.013746838227207743,0.013746838227207743,13.878807874188936,8.586275156713956,0.008248102936324645,0.013746838227207743,0.085230397008688,0.0027493676454415487,0.340921588034752,0.008248102936324645,0.03024304409985703,,0.013746838227207743,0.0027493676454415487,0.008248102936324645,,,,,,,,,,,
2019,1.9477951354558038,1.206248764089381,0.43751235910618946,0.4276250741546372,2.0318370575439983,0.027190033616768836,0.002471821237888076,7.430294641091556,0.05438006723353767,,0.061795530947201895,0.5858216333794739,0.039549139806209214,0.14089381055962033,0.06426735218508997,0.01730274866521653,0.019774569903104607,15.399446312042715,9.857623096697647,0.014830927427328456,0.01730274866521653,0.08651374332608266,,0.5709907059521455,0.007415463713664228,0.09887284951552303,0.012359106189440378,0.03460549733043306,0.002471821237888076,0.03707731856832114,0.002471821237888076,0.002471821237888076,0.009887284951552304,0.002471821237888076,0.002471821237888076,0.002471821237888076,,,,,
2020,2.346860548507555,0.5193263595222197,0.4030961742958182,0.41793407028216734,1.5480871479090932,0.03709473996587284,0.01978386131513218,12.268466998046344,0.06924351460296263,0.01978386131513218,0.05193263595222198,0.8210302445779855,0.03709473996587284,0.16816282117862352,0.04451368795904741,0.017310878650740658,0.004945965328783045,20.592526646388208,13.366471301036178,0.014837895986349135,0.014837895986349135,0.17063580384301505,0.0024729826643915226,1.098004302989836,0.00989193065756609,0.26708212775428447,0.022256843979523704,0.012364913321957613,0.03709473996587284,0.05687860128100502,0.012364913321957613,0.014837895986349135,0.024729826643915227,0.0024729826643915226,0.0024729826643915226,,0.034621757301481315,,,,
2021,2.269897692210534,0.310351671748976,0.3085473015643889,0.27245989787264757,1.937893578246513,0.00541311055376121,0.00902185092293535,17.612457371754388,0.02165244221504484,0.00902185092293535,0.032478663322567256,1.2937334223489292,0.03428303350715433,0.077587917937244,0.052326735353025025,0.03428303350715433,0.00541311055376121,26.63250392450515,17.264213926129084,0.01082622110752242,0.01443496147669656,0.21652442215044837,0.00541311055376121,1.5716064307753381,0.00360874036917414,0.1515670955053139,0.00902185092293535,0.01984807203045777,0.01263059129210949,0.12811028310568195,0.03428303350715433,,0.05052236516843796,0.00902185092293535,0.00902185092293535,0.00541311055376121,0.00360874036917414,0.05413110553761209,0.030674293137980188,0.00541311055376121,
2022,1.765703332350339,0.24329106458271893,0.30595694485402536,0.22301680920082573,1.3546888823355943,0.003686228251253318,,17.341860808021234,0.011058684753759953,,0.046077853140666473,1.2957092303155413,0.0313329401356532,0.040548510763786495,0.046077853140666473,0.007372456502506636,,24.83964907107048,17.20547036272486,,0.001843114125626659,0.23960483633146565,0.0055293423768799765,1.1685343556473016,0.009215570628133295,0.11427307578885285,0.009215570628133295,0.09215570628133295,0.016588027130639928,0.23591860808021234,,,0.033176054261279855,0.012901798879386611,0.012901798879386611,,,0.053450309643173106,0.027646711884399884,0.08662636390445297,0.003686228251253318
