First Domain,%GT Count of First Domain,Year
computer system,3.93%,2018
artificial intelligence,3.37%,2018
computer communication networks,3.37%,2018
computer hardware,3.37%,2018
computer network,3.37%,2018
computer programming,3.37%,2018
hardware,3.37%,2018
human computer interaction,3.37%,2018
internet,3.37%,2018
natural language,3.37%,2018
computer imaging and vision,2.81%,2018
computer security,2.81%,2018
information technology,2.81%,2018
signal processing,2.81%,2018
bioinformatics,2.25%,2018
data mining,2.25%,2018
information retrieval,2.25%,2018
medical informatics,2.25%,2018
speech communication,2.25%,2018
commerce,1.69%,2018
computer operating systems,1.69%,2018
elearning,1.69%,2018
operating system,1.69%,2018
probability,1.69%,2018
software,1.69%,2018
software engineering,1.69%,2018
telephone,1.69%,2018
theoretical computer science,1.69%,2018
augmentative and alternative communication,1.12%,2018
cad,1.12%,2018
computer-assisted language learning,1.12%,2018
correlation analysis,1.12%,2018
educational technology,1.12%,2018
information theory,1.12%,2018
mathematical transformations,1.12%,2018
regression analysis,1.12%,2018
robotics,1.12%,2018
sales,1.12%,2018
statistical analysis,1.12%,2018
statistical model,1.12%,2018
statistics,1.12%,2018
anonymous communication,0.56%,2018
automation,0.56%,2018
control theory,0.56%,2018
curricula,0.56%,2018
digital arithmetic,0.56%,2018
electricity,0.56%,2018
formal languages,0.56%,2018
functional languages,0.56%,2018
health expenditures,0.56%,2018
investment,0.56%,2018
knowledge representation,0.56%,2018
laser communication,0.56%,2018
matrix algebra,0.56%,2018
modeling language,0.56%,2018
numerical analysis,0.56%,2018
numerical method,0.56%,2018
ontology,0.56%,2018
optimization,0.56%,2018
programming language,0.56%,2018
semantic technology,0.56%,2018
semantic web,0.56%,2018
semantic web applications,0.56%,2018
semantic web technology,0.56%,2018
social psychology,0.56%,2018
