First Domain,%GT Count of First Domain,Year
computer hardware,3.06%,2020
computer system,3.06%,2020
hardware,3.06%,2020
human computer interaction,3.06%,2020
internet,3.06%,2020
computer programming,2.81%,2020
computer communication networks,2.55%,2020
computer imaging and vision,2.55%,2020
computer network,2.55%,2020
computer security,2.55%,2020
information technology,2.55%,2020
natural language,2.55%,2020
artificial intelligence,2.30%,2020
computer operating systems,2.30%,2020
data mining,2.30%,2020
operating system,2.30%,2020
signal processing,2.04%,2020
probability,1.79%,2020
software engineering,1.79%,2020
theoretical computer science,1.79%,2020
bioinformatics,1.53%,2020
commerce,1.53%,2020
correlation analysis,1.53%,2020
elearning,1.53%,2020
information retrieval,1.53%,2020
medical informatics,1.53%,2020
regression analysis,1.53%,2020
robotics,1.53%,2020
speech communication,1.53%,2020
statistical analysis,1.53%,2020
statistical model,1.53%,2020
statistics,1.53%,2020
automation,1.28%,2020
curricula,1.28%,2020
numerical analysis,1.28%,2020
software,1.28%,2020
cad,1.02%,2020
control theory,1.02%,2020
information theory,1.02%,2020
matrix algebra,1.02%,2020
numerical method,1.02%,2020
sales,1.02%,2020
telephone,1.02%,2020
approximation theory,0.77%,2020
augmentative and alternative communication,0.77%,2020
computer-assisted language learning,0.77%,2020
educational technology,0.77%,2020
electricity,0.77%,2020
health expenditures,0.77%,2020
investment,0.77%,2020
mathematical transformations,0.77%,2020
ontology,0.77%,2020
optimization,0.77%,2020
anonymous communication,0.51%,2020
boolean function,0.51%,2020
finite element method,0.51%,2020
formal languages,0.51%,2020
functional languages,0.51%,2020
maximum likelihood estimation,0.51%,2020
medial axis,0.51%,2020
object-oriented languages,0.51%,2020
translation %28languages%29,0.51%,2020
wavelet transform,0.51%,2020
cloud service,0.26%,2020
computer assisted language learning,0.26%,2020
curve fitting,0.26%,2020
data cube,0.26%,2020
digital arithmetic,0.26%,2020
dynamic languages,0.26%,2020
hyperspectral image,0.26%,2020
knowledge representation,0.26%,2020
laser communication,0.26%,2020
machine to machines,0.26%,2020
meta-programming,0.26%,2020
new teaching,0.26%,2020
object constraint language,0.26%,2020
partial differential equation,0.26%,2020
partial differential equations %28pde%29,0.26%,2020
programming language,0.26%,2020
semantic technology,0.26%,2020
semantic web,0.26%,2020
semantic web applications,0.26%,2020
semantic web technology,0.26%,2020
teaching model,0.26%,2020
teaching practices,0.26%,2020
teaching process,0.26%,2020
teaching quality,0.26%,2020
type system,0.26%,2020
vehicles,0.26%,2020
